"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",35,75.7375560571429,115.745952576205,16.0096079421497,4,-2.4990241274884,0.004,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",9,155.966037888889,183.57481398365,36.2593310972436,221,-0.761425411315992,0.221,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",28,94.1806666071429,126.270220537144,18.703745078948,38,-1.71567532569292,0.038,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",14,111.210714642857,160.040963650436,28.1412708219692,38,-1.7351827967008,0.038,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",30,74.4896129666667,122.574832362829,17.5845730843476,1,-2.7345116179684,0.001,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",81,46.3040718148148,82.1689936706336,8.26338980699724,1,-4.3402190497475,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",54,62.9478145,98.6293420291402,11.8731678340807,1,-3.00522388192981,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",26,99.8917147692308,128.281799512397,19.1686081676203,56,-1.48107178648072,0.056,999,"Occidentale Ailefroide","mntd","Spermatophyta",0,"Ecrins NP"
"10",58,84.8931033103448,94.7317293052363,10.9162313179749,197,-0.901284125290652,0.197,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,153.092117911787,25.8515676856,865,1.13632592597378,0.865,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",143,42.6054871118881,64.2105020856591,5.39059391099171,1,-4.00790995027787,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",27,76.8503357037037,127.310399845253,18.9466011821973,2,-2.66327789645789,0.002,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",90,57.3605926555555,79.3173719421088,8.01299561550959,2,-2.74014617505277,0.002,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",128,51.5038358359375,67.0732323261543,5.93866161020173,3,-2.62170123710549,0.003,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",33,86.4273426969697,118.290694874754,17.0648545848786,26,-1.8671915438423,0.026,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",63,53.2611588412698,91.4419396509208,10.4463180744603,1,-3.65495101120817,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",189,42.998700994709,55.4927851072872,4.05651617552072,1,-3.08000352321395,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",91,60.0041347362637,78.2825767367147,7.64322905868038,10,-2.39145547779865,0.01,999,"Under Ice","mntd","Spermatophyta",1,"Ecrins NP"
"20",7,46.9496258571429,60.92989201573,15.2400452025747,194,-0.917337578252409,0.194,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"21",2,33.908879,102.17952464965,40.3260874837543,44,-1.69296477564686,0.044,999,"Brevoort","mntd","Asterales",1,"Ecrins NP"
"22",3,49.7552243333333,85.5208306069403,26.7200825594474,106,-1.33852903313584,0.106,999,"Burlan","mntd","Asterales",0,"Ecrins NP"
"23",3,49.7552243333333,85.5604998465132,26.1875977588954,98,-1.36726078668355,0.098,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"25",3,53.3313813333333,86.6871473323323,26.7019127639275,119,-1.24919013457569,0.119,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"26",8,49.2753965,56.9726846860611,13.6844220661928,299,-0.562485441389384,0.299,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"27",9,30.7094401111111,53.3310998673118,12.1327844584604,26,-1.86450685196391,0.026,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"28",4,65.57284725,75.9126487274775,22.3838942782324,332,-0.461930410720916,0.332,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"29",9,47.3296847777778,53.7752290967634,11.9269050030152,308,-0.540420529664333,0.308,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"30",2,88.063174,101.057789982983,38.0102759821349,227.5,-0.341871129509571,0.2275,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"31",21,25.060822,34.7023905262405,5.40275947838623,33,-1.78456371504445,0.033,999,"Persistent","mntd","Asterales",1,"Ecrins NP"
"32",4,71.76188475,77.0204685437938,21.724576388241,429,-0.242056908259907,0.429,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",14,36.548949,42.8875135403975,8.18585315181122,231,-0.774331572145911,0.231,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"34",23,28.2652586086957,32.5584555053749,4.73938851296876,185,-0.905854602325062,0.185,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"35",6,71.2815443333333,64.566310295629,17.063962244564,645,0.393533104531079,0.645,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
"36",7,54.105705,60.4547275188045,15.5639881229818,361,-0.407930311218211,0.361,999,"Sirac","mntd","Asterales",0,"Ecrins NP"
"37",29,25.4280747931034,28.4504279236133,3.88662896419728,220,-0.77762841741546,0.22,999,"Summits","mntd","Asterales",0,"Ecrins NP"
"38",14,30.8803231428571,43.2111086085371,8.16363635381386,67,-1.51045256442851,0.067,999,"Under Ice","mntd","Asterales",0,"Ecrins NP"
"39",9,33.0386265555556,58.0874786375264,15.0750638042868,47,-1.66160836246994,0.047,999,"Barre des Ecrins","mntd","Poales",1,"Ecrins NP"
"40",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"41",5,103.4803944,80.0892522948949,24.8199871999771,817,0.942431674788564,0.817,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"42",2,176.543151,133.308630149149,54.5822609011298,860.5,0.792098387590903,0.8605,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"44",5,70.325058,79.7994961409409,24.3733947277097,352,-0.388720498181962,0.352,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"45",16,31.377609125,45.3876933746872,9.1158109301974,59,-1.53689938909075,0.059,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
"46",10,46.8800225,55.9624343591592,13.6717994930501,258,-0.664317222014272,0.258,999,"Muraillette","mntd","Poales",0,"Ecrins NP"
"47",5,58.7827858,79.945519433033,23.9605359649,207,-0.883232898631088,0.207,999,"Occidentale Ailefroide","mntd","Poales",0,"Ecrins NP"
"48",8,50.34161175,62.1712887070821,16.5167611554681,246,-0.716222559963924,0.246,999,"Olan","mntd","Poales",0,"Ecrins NP"
"49",3,134.804278,109.418824533867,37.6949275327672,778,0.673444814134896,0.778,999,"Pelvoux","mntd","Poales",0,"Ecrins NP"
"50",25,32.69790684,37.2424315788989,6.3188307492602,259,-0.719203428487298,0.259,999,"Persistent","mntd","Poales",0,"Ecrins NP"
"51",8,39.096611625,62.9721067941692,16.5984996262346,72,-1.43841285096835,0.072,999,"Plat de la Selle","mntd","Poales",0,"Ecrins NP"
"52",20,32.94647195,41.3195116557558,7.91299629134128,141,-1.05813770125457,0.141,999,"Rateau","mntd","Poales",0,"Ecrins NP"
"53",26,28.3414570384615,36.5728457032802,6.13673621054578,90,-1.34133004620164,0.09,999,"Rocher de la Selle","mntd","Poales",0,"Ecrins NP"
"54",4,88.7021305,91.7647516894394,30.0190186171234,451.5,-0.102022695295324,0.4515,999,"Rouies","mntd","Poales",0,"Ecrins NP"
"55",13,50.5641668461538,50.5661241971202,10.6430428293636,509,-0.000183908962665261,0.509,999,"Sirac","mntd","Poales",0,"Ecrins NP"
"56",34,25.5844425588235,32.4605269206854,4.7270429976132,70,-1.45462699732872,0.07,999,"Summits","mntd","Poales",0,"Ecrins NP"
"57",19,35.4336824736842,42.1891155662505,8.30800066450957,211,-0.813123802628515,0.211,999,"Under Ice","mntd","Poales",0,"Ecrins NP"
"58",3,43.716027,80.3061797931265,36.2397879093856,150.5,-1.00966796176117,0.1505,999,"Barre des Ecrins","mntd","Rosales",0,"Ecrins NP"
"59",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Ecrins NP"
"60",2,141.87263,102.732192701702,51.8806560404994,767,0.754432196611859,0.767,999,"Burlan","mntd","Rosales",0,"Ecrins NP"
"61",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Ecrins NP"
"63",2,60.973601,102.004015056056,52.828990785291,168.5,-0.77666473362728,0.1685,999,"La Meije","mntd","Rosales",0,"Ecrins NP"
"64",8,9.514003125,52.3129337218468,17.9633412060273,3,-2.38257070920005,0.003,999,"Lauvitel","mntd","Rosales",1,"Ecrins NP"
"65",6,44.02024,58.9286729631298,21.5908094096802,262,-0.690499030409005,0.262,999,"Muraillette","mntd","Rosales",0,"Ecrins NP"
"66",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Ecrins NP"
"67",5,10.6526784,64.5074561971972,24.5804874004673,5,-2.19095646558145,0.005,999,"Olan","mntd","Rosales",1,"Ecrins NP"
